id,language,label,code_path,label_source,source
java_data_class_001,java,data_class,java\data_class\java_data_class_001.java,mlcq,git@github.com:alibaba/jstorm.git@5d6cde22dbca7df3d6e6830bf94f98a6639ab559:/jstorm-core/src/main/java/backtype/storm/tuple/TupleImpl.java:37-356
java_data_class_002,java,data_class,java\data_class\java_data_class_002.java,mlcq,git@github.com:alibaba/jstorm.git@5d6cde22dbca7df3d6e6830bf94f98a6639ab559:/example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/transcation/TransactionalGlobalCount.java:93-96
java_data_class_003,java,data_class,java\data_class\java_data_class_003.java,mlcq,git@github.com:apache/accumulo.git@f896c98c2356a52dfa2235d2cc02ae556ab17909:/core/src/main/java/org/apache/accumulo/core/summary/Gatherer.java:617-656
java_data_class_004,java,data_class,java\data_class\java_data_class_004.java,mlcq,git@github.com:apache/archiva.git@d1242030bf232c0d9b68e4402188ee261924bf4b:/archiva-modules/archiva-web/archiva-rest/archiva-rest-api/src/main/java/org/apache/archiva/rest/api/model/ArtifactTransferRequest.java:29-45
java_data_class_005,java,data_class,java\data_class\java_data_class_005.java,mlcq,git@github.com:apache/apex-malhar.git@1acaf15f425d72f19bb590c667987ed5d81d7f25:/library/src/main/java/org/apache/apex/malhar/lib/db/jdbc/JdbcFieldInfo.java:32-60
java_data_class_006,java,data_class,java\data_class\java_data_class_006.java,mlcq,git@github.com:apache/avro.git@1119b6eb5b92730b27e9798793bc67f192591c15:/lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroWrapper.java:22-61
java_data_class_007,java,data_class,java\data_class\java_data_class_007.java,mlcq,git@github.com:apache/attic-polygene-java.git@031beef870302a0bd01bd5895ce849e00f2d5d5b:/core/runtime/src/main/java/org/apache/polygene/runtime/value/ReferenceProperty.java:28-54
java_data_class_008,java,data_class,java\data_class\java_data_class_008.java,mlcq,git@github.com:apache/brooklyn-server.git@880eb1da00f6358d7fd76d065322e3685bfb1a04:/core/src/main/java/org/apache/brooklyn/core/sensor/BasicAttributeSensor.java:31-67
java_data_class_009,java,data_class,java\data_class\java_data_class_009.java,mlcq,git@github.com:apache/calcite.git@a648f9c12309cc253628930b0cab98591caa66ab:/core/src/main/java/org/apache/calcite/plan/SubstitutionVisitor.java:854-896
java_data_class_010,java,data_class,java\data_class\java_data_class_010.java,mlcq,git@github.com:apache/drill.git@5e2251a9fd659b81ebfcd6702ee4ee16b3f7b6b3:/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillMetaImpl.java:160-222
