sample_id,proposed_label,final_label,source_file,unit_name,start_line,end_line,annotator
go_cand_000,god_class,god_class,django\django\db\models\sql\query.py,Query,158,2590,erick
go_cand_001,god_class,god_class,django\django\db\models\query.py,QuerySet,291,1976,erick
go_cand_002,god_class,god_class,django\django\db\models\base.py,Model,459,2477,erick
go_cand_003,god_class,skip,django\django\db\backends\base\schema.py,BaseDatabaseSchemaEditor,75,1830,erick
go_cand_004,god_class,god_class,django\django\contrib\admin\options.py,ModelAdmin,614,2282,erick
go_cand_005,god_class,tidak,django\django\db\migrations\autodetector.py,MigrationAutodetector,21,1759,erick
go_cand_006,god_class,tidak,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParserElement,1075,2334,erick
go_cand_007,god_class,tidak,django\django\db\models\sql\compiler.py,SQLCompiler,39,1620,erick
go_cand_008,god_class,skip,django\django\db\models\fields\__init__.py,Field,113,1088,erick
go_cand_009,god_class,god_class,flask\src\flask\app.py,Flask,79,1498,erick
go_cand_010,god_class,skip,django\django\db\backends\base\operations.py,BaseDatabaseOperations,15,778,erick
go_cand_011,god_class,tidak,django\django\contrib\gis\geos\geometry.py,GEOSGeometryBase,22,667,erick
go_cand_012,god_class,tidak,scikit-learn\sklearn\inspection\_plot\partial_dependence.py,PartialDependenceDisplay,23,1473,erick
go_cand_013,god_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\gradient_boosting.py,BaseHistGradientBoosting,139,1414,erick
go_cand_014,god_class,tidak,scikit-learn\sklearn\pipeline.py,Pipeline,59,1186,erick
go_cand_015,god_class,tidak,django\django\db\backends\base\base.py,BaseDatabaseWrapper,44,802,erick
go_cand_016,god_class,tidak,scikit-learn\sklearn\compose\_column_transformer.py,ColumnTransformer,58,1220,erick
go_cand_017,god_class,tidak,django\django\db\models\options.py,Options,87,1014,erick
go_cand_018,god_class,skip,django\django\db\backends\oracle\operations.py,DatabaseOperations,21,722,erick
go_cand_019,god_class,tidak,django\django\contrib\gis\gdal\geometries.py,OGRGeometry,60,520,erick
go_cand_020,god_class,tidak,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseResults,302,942,erick
go_cand_021,god_class,skip,flask\src\flask\sansio\app.py,App,59,964,erick
go_cand_022,god_class,tidak,scikit-learn\sklearn\mixture\_bayesian_mixture.py,BayesianGaussianMixture,74,888,erick
go_cand_023,god_class,tidak,django\django\contrib\admin\checks.py,BaseModelAdminChecks,176,787,erick
go_cand_024,god_class,tidak,scikit-learn\sklearn\model_selection\_search.py,BaseSearchCV,384,1161,erick
go_cand_025,god_class,skip,django\django\db\models\fields\related.py,ManyToManyField,1301,1982,erick
go_cand_026,god_class,tidak,scikit-learn\sklearn\impute\_iterative.py,IterativeImputer,50,906,erick
go_cand_027,god_class,tidak,scikit-learn\sklearn\ensemble\_gb.py,BaseGradientBoosting,354,1114,erick
go_cand_028,god_class,skip,click\src\click\core.py,Context,160,831,erick
go_cand_029,god_class,tidak,scikit-learn\sklearn\decomposition\_lda.py,LatentDirichletAllocation,163,929,erick
go_cand_030,god_class,tidak,django\django\forms\formsets.py,BaseFormSet,54,531,erick
go_cand_031,god_class,skip,django\django\db\migrations\state.py,ProjectState,93,578,erick
go_cand_032,god_class,skip,django\django\db\backends\mysql\operations.py,DatabaseOperations,13,464,erick
go_cand_033,god_class,tidak,scikit-learn\sklearn\preprocessing\_encoders.py,OneHotEncoder,457,1231,erick
go_cand_034,god_class,tidak,django\django\db\backends\oracle\creation.py,DatabaseCreation,12,464,erick
go_cand_035,god_class,skip,django\django\db\backends\sqlite3\operations.py,DatabaseOperations,18,434,erick
go_cand_036,god_class,tidak,flask\src\flask\sansio\scaffold.py,Scaffold,52,698,erick
