sample_id,label,language,unit_type,source_file,unit_name,start_line,end_line
py_ns_func_000,non_smells,python,func,django\django\db\migrations\operations\special.py,deconstruct,20,26
py_ns_func_001,non_smells,python,func,django\django\db\migrations\operations\special.py,deconstruct,82,92
py_ns_func_002,non_smells,python,func,django\django\db\migrations\operations\special.py,database_forwards,102,106
py_ns_func_003,non_smells,python,func,django\django\db\migrations\operations\special.py,database_backwards,108,114
py_ns_func_004,non_smells,python,func,django\django\db\migrations\operations\special.py,deconstruct,161,171
py_ns_func_005,non_smells,python,func,django\django\db\migrations\operations\special.py,database_backwards,195,201
py_ns_func_006,non_smells,python,func,django\django\template\context.py,make_context,273,290
py_ns_func_007,non_smells,python,func,django\django\template\context.py,_reset_dicts,31,35
py_ns_func_008,non_smells,python,func,django\django\template\context.py,set_upward,66,76
py_ns_func_009,non_smells,python,func,django\django\template\context.py,__getitem__,78,83
py_ns_func_010,non_smells,python,func,django\django\template\context.py,get,92,96
py_ns_func_011,non_smells,python,func,django\django\template\context.py,setdefault,98,103
py_ns_func_012,non_smells,python,func,django\django\template\context.py,flatten,114,121
py_ns_func_013,non_smells,python,func,django\django\template\context.py,__eq__,123,130
py_ns_func_014,non_smells,python,func,django\django\template\context.py,__init__,136,145
py_ns_func_015,non_smells,python,func,django\django\template\context.py,bind_template,148,155
py_ns_func_016,non_smells,python,func,django\django\template\context.py,push_state,202,212
py_ns_func_017,non_smells,python,func,django\django\template\context.py,bind_template,245,262
py_ns_func_018,non_smells,python,func,scikit-learn\sklearn\multiclass.py,_predict_binary,106,115
py_ns_func_019,non_smells,python,func,scikit-learn\sklearn\multiclass.py,_threshold_for_binary_predict,118,124
py_ns_func_020,non_smells,python,func,scikit-learn\sklearn\multiclass.py,_estimators_has,180,196
py_ns_func_021,non_smells,python,func,scikit-learn\sklearn\multiclass.py,fit,130,138
py_ns_func_022,non_smells,python,func,scikit-learn\sklearn\multiclass.py,predict,140,151
py_ns_func_023,non_smells,python,func,scikit-learn\sklearn\multiclass.py,decision_function,153,164
py_ns_func_024,non_smells,python,func,scikit-learn\sklearn\multiclass.py,check,188,194
py_ns_func_025,non_smells,python,func,scikit-learn\sklearn\multiclass.py,decision_function,558,585
py_ns_func_026,non_smells,python,func,scikit-learn\sklearn\multiclass.py,get_metadata_routing,601,626
py_ns_func_027,non_smells,python,func,scikit-learn\sklearn\multiclass.py,predict,921,942
py_ns_class_000,non_smells,python,class,django\django\db\migrations\operations\special.py,SeparateDatabaseAndState,6,60
py_ns_class_001,non_smells,python,class,django\django\template\context.py,Context,133,168
py_ns_class_002,non_smells,python,class,django\django\template\context.py,RenderContext,171,212
py_ns_class_003,non_smells,python,class,scikit-learn\sklearn\multiclass.py,_ConstantPredictor,127,177
py_ns_class_004,non_smells,python,class,django\django\core\management\commands\sqlmigrate.py,Command,7,83
py_ns_class_005,non_smells,python,class,django\django\contrib\gis\serializers\geojson.py,Serializer,8,76
py_ns_class_006,non_smells,python,class,scrapy\scrapy\core\downloader\middleware.py,DownloaderMiddlewareManager,20,103
py_ns_class_007,non_smells,python,class,django\django\contrib\gis\forms\widgets.py,BaseGeometryWidget,15,95
py_ns_class_008,non_smells,python,class,django\django\templatetags\i18n.py,BlockTranslateNode,104,204
py_ns_class_009,non_smells,python,class,scrapy\scrapy\http\request\json_request.py,JsonRequest,17,60
py_ns_class_010,non_smells,python,class,django\django\forms\boundfield.py,BoundWidget,306,344
py_ns_class_011,non_smells,python,class,django\django\contrib\messages\storage\cookie.py,CookieStorage,62,174
py_ns_class_012,non_smells,python,class,django\django\contrib\gis\gdal\datasource.py,DataSource,51,126
py_ns_class_013,non_smells,python,class,django\django\middleware\common.py,CommonMiddleware,13,115
py_ns_class_014,non_smells,python,class,django\django\middleware\common.py,BrokenLinkEmailsMiddleware,118,178
py_ns_class_015,non_smells,python,class,scikit-learn\doc\sphinxext\sphinx_issues.py,IssueRole,77,145
py_ns_class_016,non_smells,python,class,django\django\db\backends\postgresql\features.py,DatabaseFeatures,9,137
py_ns_class_017,non_smells,python,class,django\django\utils\functional.py,cached_property,8,58
py_ns_class_018,non_smells,python,class,django\django\utils\functional.py,SimpleLazyObject,398,452
py_ns_class_019,non_smells,python,class,django\django\core\files\uploadedfile.py,UploadedFile,21,67
py_ns_class_020,non_smells,python,class,django\django\core\files\storage\memory.py,InMemoryFileNode,40,79
py_ns_class_021,non_smells,python,class,django\django\core\files\storage\memory.py,InMemoryDirNode,82,161
py_ns_class_022,non_smells,python,class,django\django\db\models\sql\query.py,JoinPromoter,2607,2696
py_ns_class_023,non_smells,python,class,flask\src\flask\json\tag.py,TaggedJSONSerializer,219,327
py_ns_class_024,non_smells,python,class,scikit-learn\asv_benchmarks\benchmarks\cluster.py,KMeansBenchmark,8,54
py_ns_class_025,non_smells,python,class,scikit-learn\asv_benchmarks\benchmarks\cluster.py,MiniBatchKMeansBenchmark,57,104
py_ns_class_026,non_smells,python,class,scrapy\scrapy\downloadermiddlewares\stats.py,DownloaderStats,22,60
py_ns_class_027,non_smells,python,class,django\django\db\backends\mysql\creation.py,DatabaseCreation,10,87
