sample_id,label,language,source_file,function_name,start_line,end_line,metric
py_lo_0000,long_method,python,django\django\contrib\contenttypes\views.py,shortcut,9,88,58
py_lo_0001,long_method,python,scikit-learn\sklearn\multiclass.py,partial_fit,399,477,60
py_lo_0002,long_method,python,scikit-learn\sklearn\multiclass.py,fit,759,828,58
py_lo_0003,long_method,python,scikit-learn\sklearn\multiclass.py,partial_fit,835,919,71
py_lo_0004,long_method,python,scikit-learn\sklearn\multiclass.py,fit,1148,1223,58
py_lo_0005,long_method,python,django\django\contrib\auth\management\commands\createsuperuser.py,handle,90,248,142
py_lo_0006,long_parameter_list,python,scikit-learn\sklearn\datasets\_kddcup99.py,fetch_kddcup99,63,243,8
py_lo_0007,long_method,python,scikit-learn\sklearn\datasets\_kddcup99.py,_fetch_brute_kddcup99,246,390,125
py_lo_0008,long_method,python,django\django\db\backends\sqlite3\_functions.py,register,40,103,61
py_lo_0009,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,check_pairwise_arrays,72,194,103
py_lo_0010,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,euclidean_distances,243,347,88
py_lo_0011,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,nan_euclidean_distances,405,524,86
py_lo_0012,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,pairwise_distances_argmin_min,667,800,97
py_lo_0013,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,pairwise_distances_argmin,816,944,89
py_lo_0014,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,additive_chi2_kernel,1674,1739,53
py_lo_0015,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,pairwise_distances_chunked,1985,2155,138
py_lo_0016,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,pairwise_distances,2168,2331,133
py_lo_0017,long_method,python,scikit-learn\sklearn\metrics\pairwise.py,pairwise_kernels,2425,2522,80
py_lo_0018,long_method,python,django\tests\test_utils\tests.py,test_complex_examples,816,869,53
py_lo_0019,long_method,python,django\tests\test_utils\tests.py,_assert_formset_error_old_api_cases,1878,1952,75
py_lo_0020,long_method,python,django\tests\model_forms\tests.py,test_initial_values,1494,1604,104
py_lo_0021,long_method,python,django\tests\model_forms\tests.py,test_multi_fields,1693,1782,86
py_lo_0022,long_method,python,django\tests\model_forms\tests.py,test_subset_fields,1784,1844,52
py_lo_0023,long_method,python,django\tests\model_forms\tests.py,test_runtime_choicefield_populated,1923,1994,68
py_lo_0024,long_method,python,django\tests\model_forms\tests.py,test_image_field,2663,2820,115
py_lo_0025,long_method,python,django\tests\model_forms\tests.py,test_limit_choices_to_no_duplicates,3322,3385,61
py_lo_0026,long_method,python,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\tests\test_grower.py,test_grower_interaction_constraints,571,650,66
py_lo_0027,long_parameter_list,python,scrapy\scrapy\http\response\__init__.py,__init__,41,61,9
py_lo_0028,long_parameter_list,python,scrapy\scrapy\http\response\__init__.py,follow,157,206,13
py_lo_0029,long_parameter_list,python,scrapy\scrapy\http\response\__init__.py,follow_all,208,255,13
py_lo_0030,long_parameter_list,python,django\django\contrib\admin\views\main.py,__init__,57,131,14
py_lo_0031,long_method,python,django\django\contrib\admin\views\main.py,get_filters,153,254,79
py_lo_0032,long_method,python,django\django\contrib\admin\views\main.py,_get_deterministic_ordering,390,453,51
py_lo_0033,long_method,python,scrapy\scrapy\core\downloader\middleware.py,download,35,103,65
py_lo_0034,long_method,python,django\tests\runtests.py,setup_collect_tests,199,275,59
py_lo_0035,long_parameter_list,python,django\tests\runtests.py,django_tests,368,434,17
py_lo_0036,long_parameter_list,python,scikit-learn\sklearn\kernel_approximation.py,__init__,996,1015,8
py_lo_0037,long_method,python,django\django\templatetags\i18n.py,do_translate,360,453,77
py_lo_0038,long_method,python,django\django\templatetags\i18n.py,do_block_translate,458,596,122
py_lo_0039,long_parameter_list,python,django\django\templatetags\i18n.py,__init__,105,125,9
py_lo_0040,long_method,python,django\django\templatetags\i18n.py,render,148,204,52
py_lo_0041,long_method,python,scikit-learn\sklearn\utils\tests\test_pprint.py,test_gridsearch_pipeline,375,438,60
py_lo_0042,long_method,python,scikit-learn\sklearn\utils\tests\test_pprint.py,test_n_max_elements_to_show,441,528,74
py_lo_0043,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_pprint.py,__init__,20,52,15
py_lo_0044,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_pprint.py,__init__,77,101,11
py_lo_0045,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_pprint.py,__init__,105,141,17
py_lo_0046,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_pprint.py,__init__,151,181,14
py_lo_0047,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_pprint.py,__init__,205,229,11
